iter	Passed	Remaining
0	0	995
1	2	1031
2	2	981
3	3	941
4	4	923
5	5	894
6	6	873
7	7	880
8	7	861
9	8	840
10	9	855
11	10	858
12	11	878
13	12	902
14	13	890
15	14	900
16	15	890
17	16	901
18	17	898
19	18	889
20	18	885
21	19	883
22	20	881
23	21	875
24	22	869
25	23	866
26	23	864
27	24	866
28	25	868
29	26	870
30	28	878
31	28	873
32	29	875
33	30	869
34	31	877
35	32	876
36	33	870
37	34	864
38	34	862
39	35	857
40	36	853
41	37	848
42	38	845
43	38	841
44	39	840
45	40	838
46	41	845
47	42	844
48	43	844
49	44	840
50	45	838
51	45	832
52	46	834
53	47	833
54	48	829
55	49	828
56	49	826
57	50	823
58	51	821
59	52	820
60	53	817
61	53	813
62	54	809
63	55	806
64	55	805
65	57	809
66	58	810
67	58	807
68	59	804
69	60	801
70	61	799
71	61	797
72	62	795
73	63	791
74	64	790
75	64	789
76	65	787
77	66	785
78	67	782
79	67	779
80	68	777
81	69	774
82	69	772
83	70	770
84	71	771
85	72	773
86	73	773
87	74	770
88	75	770
89	76	769
90	76	768
91	77	766
92	78	765
93	79	763
94	79	761
95	80	760
96	81	759
97	82	756
98	82	753
99	83	751
100	84	748
101	84	747
102	85	745
103	86	743
104	87	744
105	88	744
106	89	744
107	89	742
108	90	739
109	91	738
110	92	737
111	92	737
112	93	736
113	94	735
114	95	733
115	96	732
116	96	729
117	97	728
118	98	727
119	99	726
120	99	724
121	100	722
122	101	720
123	102	721
124	103	722
125	104	721
126	104	720
127	105	717
128	106	717
129	106	715
130	107	713
131	108	711
132	108	708
133	109	706
134	109	703
135	110	701
136	110	698
137	111	696
138	112	694
139	112	691
140	113	689
141	113	687
142	114	684
143	114	682
144	115	680
145	115	677
146	116	675
147	117	674
148	117	673
149	118	672
150	119	670
151	119	668
152	120	666
153	120	664
154	121	662
155	122	660
156	122	659
157	123	657
158	124	655
159	124	653
160	125	652
161	125	650
162	126	648
163	126	647
164	127	645
165	128	643
166	128	641
167	129	639
168	129	637
169	130	636
170	130	634
171	131	632
172	131	630
173	132	629
174	133	628
175	133	627
176	134	626
177	135	625
178	136	624
179	136	623
180	137	621
181	138	621
182	138	619
183	139	618
184	139	616
185	140	614
186	141	613
187	141	611
188	142	610
189	142	609
190	143	607
191	144	606
192	144	604
193	145	603
194	145	601
195	146	600
196	146	598
197	147	597
198	147	595
199	148	594
200	149	595
201	150	594
202	151	593
203	151	592
204	152	591
205	153	590
206	153	589
207	154	587
208	155	586
209	155	585
210	156	583
211	156	582
212	157	581
213	157	579
214	158	578
215	159	577
216	159	576
217	160	574
218	160	573
219	161	572
220	161	570
221	162	569
222	163	569
223	164	568
224	164	567
225	165	566
226	165	565
227	166	563
228	167	562
229	167	561
230	168	560
231	169	559
232	169	558
233	170	557
234	170	555
235	171	554
236	171	553
237	172	551
